District,D Positive Tweet,D Negative Tweet,R Positive Tweet,R Negative Tweet,Raw PVI,2020 Biden %,2020 Trump %,2016 Clinton %,2016 Trump %,D Popularity,R Popularity,Winners
MA01,0.7663551401869159,0.2336448598130841,0.8125,0.1875,8.68,0.596,0.38,0.5489999999999999,0.374,431000,1080,D
MA02,0.7117117117117117,0.2882882882882883,0.7012987012987013,0.2987012987012987,13.08,0.64,0.33299999999999996,0.575,0.33899999999999997,87400,297,D
MA03,0.7913043478260869,0.208695652173913,0.625,0.375,11.41,0.624,0.35100000000000003,0.5670000000000001,0.354,12100,35700,D
MA04,0.6179775280898876,0.3820224719101123,0.0,0.0,11.94,0.63,0.34700000000000003,0.5760000000000001,0.35,4850,0,D
MA06,0.6530612244897959,0.3469387755102041,0.7043478260869566,0.2956521739130435,11.01,0.626,0.35200000000000004,0.5539999999999999,0.373,23400,93000000,D
MA07,0.5740740740740741,0.4259259259259259,0.7024793388429752,0.2975206611570248,35.0,0.852,0.13,0.8320000000000001,0.11599999999999999,49600,16700,D
MA08,0.7363636363636363,0.2636363636363636,0.7628865979381443,0.2371134020618556,15.26,0.6659999999999999,0.313,0.605,0.32899999999999996,463000,275000,D
MA09,0.7652173913043478,0.2347826086956521,0.7814569536423841,0.2185430463576159,6.3,0.58,0.39899999999999997,0.514,0.415,70100,11200000,D
MA05,0.8076923076923077,0.1923076923076923,0.6063829787234043,0.3936170212765957,23.35,0.7440000000000001,0.235,0.6859999999999999,0.249,172000,1220,D
MD01,0.7391304347826086,0.2608695652173913,0.7109375,0.2890625,-10.6,0.415,0.5589999999999999,0.35600000000000004,0.586,3510,1300000,R
MD02,0.7627118644067796,0.2372881355932203,0.6633663366336634,0.3366336633663366,7.47,0.589,0.38299999999999995,0.523,0.41200000000000003,6200,289,D
MD03,0.8172043010752689,0.1827956989247312,0.8269230769230769,0.173076923076923,9.62,0.612,0.359,0.532,0.395,13500,375,D
